# ode number ^ (t)itle / e(x)position / line number ^ text
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
1^t^Liber Exodus 15:1-19
1^x^Ċantémus Dòmino, glorióse ènim magnificátus est; èqvum et asċensórem dejéċit in mare. Adjútor et protêctor factus est mìhi in salútem. Iste Deus meus, et glorificábo eum; Deus patris mei, et exaltábo eum. Dòminus cònterens bella; Dòminus nomen ejus. Currus Faraónis et exèrċitum ejus projéċit in mare; elêctos asċensóres ternos stantes demèrsit in Rubro Mari. Pèlago coopèruit eos; desċendérunt in profùndum qvasi làpis. Dèxtera tua, Dòmine, glorificáta est in virtúte; dèxtera tua, Dòmine, confréġit inimícos. Et per multitúdinem glóriae tuae contribulavìsti adversários. Misìsti iram tuam, et comédit illos sicut stìpulam, et per spíritum irae tuae divísa est aqva. Ġelavérunt sicut moerus aqvae; ġelavérunt flûctůs in mèdio mari. Dîxit inimícus, «Pèrseqvens comprehèndem; partíbor spólia; replébo ànimam meam; interfìċiem glàdio meo; dominábitur mànus mea.» Misìsti spíritum tuum, et coopèruit eos mare; desċendérunt qvasi plumbum in aqvam validìssimus. ¿Qvis sìmilis tìbi in deis, Dòmine? ¿Qvis sìmilis tìbi, gloriósus in sânctis, mirábilis in majestátibus, et fàċiens prodìġia? Extendìsti dèxteram tuam, et devorávit eos terra. Guvernavìsti in jůstìzzia tua pòpulum tuum hunc qvem redemìsti; exhortátus es in virtúte tua in rèqvie sâncta tua. Audivérunt ġentes et irátae sunt; dolóres compredendérunt habitàntes Filìstiam.
1^8^Tunc festinavérunt duċes Edómis, et prînċipes Moabitárum, apprehèndit illos trèmor; flůxérunt omnes habitàntes Canaánis.
1^7^Ìnruat super eos tìmor et trèmor; magnitúdine bràzzii tui fiant qvasi làpis, donec pertrànseat pòpulus tuus, Dòmine, donec pertrànseat pòpulus tuus, iste qvem acqvisìsti.
1^6^Indúċes plantáto eos in monte haereditátis tuae, in parátam habitaziónem tuam qvam operátus es, Dòmine; sanctificaziónem, Dòmine, qvam paravérunt mànůs tuae.
1^5^Dòminus, qvi rêgnas in aetèrnum, et in sáeculum, et adhůc.
1^4^Qvia introívit eqvitátus Faraónis cum cùrribus et asċensóribus in mare, et addûxit super eos Dòminus aqvas maris;
1^3^fílii autem Israélis transivérunt per siccum in mèdio mari.
1^2^Glória Patri, et Fílio, et Spirìtui Sâncto,
1^1^et nunc et semper, et in sáecula saeculórum. Amen.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
2^t^Liber Deuteronomii 32:1-43
