# mystery number ^ meditation number ^ verse ^ text
###############################################################################
1^x^x^Primum Mystèrium Gloriósum: Resurrêczio
1^1^Secùndum Matțáeum 28:1^Vèspere autem sàbbati, qvae luçésçit in prima sàbbati, venit María Magdaléne, et àltera María, vidére sepùlcrum.
1^2^Secùndum Matțáeum 28:2^Et ecçe terraemótus factus est magnus; àngelus ènim Dòmini desçènsit de çoelo et acçèdens revolúvit lapidem et sedébat super eum.
1^3^Secùndum Matțáeum 28:5,6^Àngelus dîxit mulièribus nolíte tìmere vos; sçio ènim qvod Jesum qvi cruçifîxus est qváeritis. Non est hic; surrêxit ènim sicut dîxit.
1^4^Secùndum Matțáeum 28:7^Et cìte eùntes, díçite disçìpulis ejus qvia surrêxit, et ecçe praeçédit vos in Galiláeam.
1^5^Secùndum Johànnem 20:19^Qvum fores essent clausi ubi erant discipuli, venit Jesus, et stètit in mèdio, et dîxit eis: «~Pâx vobis.~»
1^6^Secùndum Lucam 24:37^Conturbáti vero et contèrriti disçìpuli, existimábant se spíritum vìdere.
1^7^Secùndum Lucam 24:38,39^Et dîxit eis: «~Qvid turbáti estis. Vidéte mànůs meas et pèdes, qvia ego ipse sum.~» 
1^8^Secùndum Johànnem 20:20^Et qvum hoc dixìsset, ostèndit eis mànůs et latus. Gavísi sunt ergo disçìpuli, viso Dòmino.
1^9^Secùndum Johànnem 20:21^Dîxit ergo eis ìterum: «~Pâx vobis. Sicut misit me Pater, et ego mitto vos.~»
1^10^Secùndum Johànnem 11:25^«~Ego sum resurrêczio et vita, qvi credit in me, ètiam si mòrtuus fúerit, vivet.~»
###############################################################################
1^x^x^Secùndum Mystèrium Gloriósum: Asçènsio
2^1^Secùndum Lucam 24:50^Edûxit autem Jesus eos a foras in Bețániam, et elevátis mànibus suis benedîxit eis.
2^2^Secùndum Matțáeum 28:18^Et acçédens Jesus locútus est eis, diçens: «~Data est mìhi omnis potèstas in çoelo et in terra.~»
2^3^Secùndum Matțáeum 28:19^«~Eùntes ergo doçéte omnes ģentes, baptisàntes eos in nómine Patris, et Fílii, et Spíritůs Sâncti.~»
2^4^Secùndum Matțáeum 28:20^«~Ecçe ego vobîscum sum òmnibus diébus, ûsqve ad consummaziónem sáeculi.~»
2^5^Secùndum Marcum 16:16^«~Qvi credìderit et baptisátus fúerit, salvus èrit; qvi vero non credìderit, condemnábitur.~»
2^6^Secùndum Lucam 24:51^«~Et factum est dum benedíçeret illis, reçèssit ab eis et ferebátur in çoelum.~»
2^7^Actus Apostolórum 1:9^Et vidèntibus illis, elevátus est et nubes susçépit eum ab òculis eórum.
2^8^Actus Apostolórum 1:11^«~Hic Jesus qvi adsumptus est a vobis in çoelum, sic vèniet qvemàdmodum vídistis eum eùntem in çoelum.~»
2^9^Secùndum Lucam 24:52^Et ipsi adoràntes regrèssi sunt in Jerusaléma cum gáudio magno.
2^10^Secùndum Marcum 16:19^Et Dòminus Jesus sedit a dèxtris Dei.
###############################################################################
1^x^x^Tèrzium Mystèrium Gloriósum: Desçènsus Spíritus Sâncti
3^1^Secùndum Johànnem 14:16^Dîxit Jesus: «~Ego rogábo Patrem, et álium paraclétum dabit vobis, ut màneat vobîscum in aetèrnum.~»
3^2^Secùndum Johànnem 14:26^«~Paraclétus, Spíritus Sânctus, qvem mittet Pater in nómine meo, ille vos doçébit òmnia, et sugģeret vobis òmnia qváecumqve dîxero vobis.~»
